ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.INTC,260678.35238845902,339773.06183287315,0.0,4,79094.70944441413
US.MRVL,282694.78237105545,188488.23106493222,144627.47960826027,3,50420.928302137065
US.SNDK,403874.3684791079,303879.2519323442,144406.19135167266,5,44411.074804909
US.TSEM,120787.00179232149,156126.90203468947,0.0,2,35339.90024236798
US.CRDO,296074.76924139424,166278.41841782568,161637.84457587337,3,31841.493752304814
US.FTNT,154863.5971349412,183504.55887720687,0.0,2,28640.961742265674
US.LITE,252560.83109517355,279933.5759850814,0.0,4,27372.74488990783
US.BE,264207.0594959451,289370.1881409281,0.0,4,25163.128644982993
US.UMC,154244.63791377854,179392.8260039239,0.0,2,25148.188090145355
US.CIEN,248141.16499780567,272286.7568961916,0.0,4,24145.59189838596
US.VG,121432.2856562639,142344.58650365938,0.0,2,20912.30084739547
US.AMKR,115873.7325292285,136316.07168033055,0.0,2,20442.33915110206
US.AA,100000.0,119060.48084666848,0.0,2,19060.480846668477
US.CRS,153307.50799219456,170926.23875913263,0.0,2,17618.730766938068
US.MU,380758.7374599286,396885.48147039895,0.0,6,16126.744010470342
US.SATS,99600.31974420464,114442.3642801489,0.0,2,14842.044535944267
US.PANW,154863.5971349412,167184.33569005504,0.0,2,12320.738555113843
US.IMO,117765.96956500254,128092.26161187483,0.0,2,10326.292046872288
US.NBIS,113606.85644164452,123805.7414320024,0.0,2,10198.884990357881
US.WDS,113606.85644164452,123610.13050185808,0.0,2,10003.27406021356
US.TPL,120480.44358711799,129530.3274717391,0.0,2,9049.883884621115
US.KRMN,112035.5650549412,120935.80519536942,0.0,2,8900.240140428228
US.CVE,238536.02960305108,246728.80594958807,0.0,4,8192.776346536994
US.WLK,117765.96956500254,125793.8148670022,0.0,2,8027.845301999667
US.LYB,113606.85644164452,121233.96414273858,0.0,2,7627.107701094064
US.BA,100000.0,106311.23814668418,0.0,2,6311.238146684176
US.EQNR,120787.00179232149,126579.83923882018,0.0,2,5792.837446498685
US.SKM,117765.96956500254,122870.77650815606,0.0,2,5104.806943153526
US.OXY,113606.85644164452,117387.87735839403,0.0,2,3781.0209167495195
US.VRT,124689.36751776886,128419.89025039687,0.0,2,3730.5227326280146
US.STX,252086.88655119564,255049.42838444392,0.0,4,2962.5418332482805
US.IONQ,300972.43413370615,303489.32114782196,0.0,4,2516.8870141158113
US.KTOS,111766.89463514522,114020.20056502572,0.0,2,2253.305929880502
US.EC,152694.76815209776,154738.43718875753,0.0,2,2043.6690366597613
US.UI,129156.02066931281,128115.93532166208,0.0,2,-1040.0853476507327
US.ESLT,121919.57412197931,120274.04402244325,0.0,2,-1645.5300995360594
US.TER,125189.72613541642,122953.22824093218,0.0,2,-2236.497894484244
US.ATI,229156.02066931283,225727.32022881013,0.0,4,-3428.7004405026964
US.APA,123980.8245185316,120262.90758188319,0.0,2,-3717.916936648413
US.CSCO,153307.50799219456,149463.96229366167,0.0,2,-3843.545698532893
US.FLEX,143810.267009722,139901.01401713697,0.0,2,-3909.2529925850395
US.AKAM,154863.5971349412,150393.05207709604,0.0,2,-4470.545057845156
US.QCOM,158408.007192372,152520.30566066693,0.0,2,-5887.701531705068
US.RKLB,260729.73506476643,254657.40795868344,0.0,4,-6072.327106082987
US.PL,127371.10495975713,121292.52858273464,0.0,2,-6078.576377022488
US.HL,117911.09113925933,111175.18786371169,0.0,2,-6735.903275547636
US.SITM,143810.267009722,135375.0239597041,0.0,2,-8435.243050017918
US.CEG,121919.57412197928,113111.55254392736,0.0,2,-8808.021578051921
US.SPOT,121919.5741219793,112901.18669449879,0.0,2,-9018.387427480513
US.AMD,143810.267009722,133980.6189095991,0.0,2,-9829.648100122897
US.KEYS,129156.02066931283,118989.56956631714,0.0,2,-10166.451102995692
US.KLAC,155323.6774112983,0.0,144814.95956364326,1,-10508.717847655033
US.WDC,114529.03573640979,102800.48206026848,0.0,2,-11728.55367614131
US.AXON,121919.5741219793,108912.1197125622,0.0,2,-13007.4544094171
US.ARM,163130.4067310752,147173.5851656862,0.0,2,-15956.821565388993
US.OKTA,162608.806709553,146339.10579386362,0.0,2,-16269.700915689376
US.ALAB,307495.1718523022,142375.89042505992,146371.72956749835,3,-18747.55185974395
US.GLW,254345.74680472925,233999.45862576348,0.0,4,-20346.28817896577
US.DELL,287111.2312496068,265226.02491193684,0.0,4,-21885.20633766998
US.ASTS,114804.34591846848,92392.61780366169,0.0,2,-22411.728114806785
US.RMBS,151806.57479006634,108946.49863598018,0.0,2,-42860.07615408616
US.AAOI,558766.863936892,511633.97342940484,0.0,8,-47132.89050748717
