date,portfolio_value,daily_return,benchmark_return,excess_return,cash,long_market_value,short_market_value,gross_exposure,net_exposure,borrow_cost,spy_short_hedge_target,stock_short_gross_target,spy_short_market_value,spy_short_weight,cumulative_return,strategy_nav,benchmark_nav,drawdown,rolling_63_return,rolling_63_excess_return,daily_turnover
2026-01-02,513001.04325235414,0.026002086504708366,0.001833059595331532,0.024169026909376834,0.0,513001.04325235414,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.026002086504708366,1.0260020865047084,1.0018330595953315,0.0,,,0.49960031974420466
2026-01-05,515921.72313355986,0.0056933215236543155,0.0066601285187537496,-0.000966806995099434,0.0,515921.72313355986,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.03184344626711977,1.0318434462671198,1.0085053965265727,0.0,,,0.6046520785446845
2026-01-06,551225.7547795944,0.06842904662282479,0.0059471878101220454,0.06248185881270274,-7.275957614183426e-12,551225.7547795944,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.10245150955918869,1.1024515095591887,1.0145031675272378,0.0,,,0.19531081461259858
2026-01-07,539293.2428604392,-0.02164723221963083,-0.0032234283982461864,-0.018423803821384643,-1.4551915228366852e-11,539293.2428604392,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.07858648572087845,1.0785864857208785,1.0112329892069198,-0.02164723221963072,,,0.18793656206928377
2026-01-08,532894.5570946628,-0.011864947040384655,-0.00010151106573852431,-0.01176343597464613,0.0,532894.5570946628,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.06578911418932565,1.0657891141893256,1.0111303378684755,-0.0332553359961586,,,0.29120427461697135
2026-01-09,555633.5118726672,0.04267064558132683,0.0066133921200393075,0.03605725346128752,-7.275957614183426e-12,555633.5118726672,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.11126702374533437,1.1112670237453344,1.0178173392772676,0.0,,,0.2864388924440453
2026-01-12,565641.9107921057,0.018012590503598158,0.0015704467845747416,0.016442143719023417,-7.275957614183426e-12,565641.9107921057,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.13128382158421137,1.1312838215842114,1.01941576724502,0.0,,,0.37290988683470605
2026-01-13,566240.5587400713,0.00105835147032729,-0.00199953967384503,0.00305789114417232,-7.275957614183426e-12,566240.5587400713,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.13248111748014257,1.1324811174801426,1.0173774049742703,0.0,,,0.18944797968410979
2026-01-14,564061.5233928808,-0.003848250206659465,-0.004915173617672908,0.001066923411013443,-7.275957614183426e-12,564061.5233928808,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.1281230467857617,1.1281230467857617,1.0123768183941242,-0.003848250206659465,,,0.19128723367738784
2026-01-15,590132.3024462245,0.04621974371966653,0.00272321687328958,0.04349652684637695,0.0,590132.3024462245,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.180264604892449,1.180264604892449,1.0151337400281022,0.0,,,0.3121108283712412
2026-01-16,591554.5235369855,0.0024100037989203127,-0.0008378597014612188,0.0032478635003815315,-7.275957614183426e-12,591554.5235369855,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.1831090470739709,1.183109047073971,1.014283200375739,0.0,,,0.19974975449318638
2026-01-20,590954.7439127166,-0.0010139042140743237,-0.02035682271671191,0.019342918502637585,-7.275957614183426e-12,590954.7439127166,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.18190948782543326,1.1819094878254333,0.9936356170811509,-0.0010139042140742127,,,0.276118739929107
2026-01-21,618852.3030611248,0.04720760673431301,0.011541072640074201,0.03566653409423881,0.0,618852.3030611248,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.23770460612224942,1.2377046061222494,1.0051032379156495,0.0,,,0.08976528640318822
2026-01-22,619283.3870952539,0.0006965862969190439,0.005223227313606804,-0.00452664101668776,0.0,619283.3870952539,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.23856677419050776,1.2385667741905078,1.010353120600925,0.0,,,0.09304706463105428
2026-01-23,604716.5962890259,-0.023522011262975262,0.00036285523418388976,-0.023884866497159152,-7.275957614183426e-12,604716.5962890259,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.2094331925780517,1.2094331925780517,1.010719732519109,-0.023522011262975262,,,0.27408835487268735
2026-01-26,604993.6535844592,0.00045816056171377184,0.005078130668289882,-0.00461997010657611,-7.275957614183426e-12,604993.6535844592,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.20998730716891845,1.2099873071689184,1.0158522993898602,-0.02307462755915446,,,0.07699252633554006
2026-01-27,623968.5202292423,0.03136374494568828,0.003984236282941422,0.027379508662746854,17340.88968301235,606627.6305462299,0.0,0.9722087106627728,0.9722087106627728,0.0,0.0,0.0,0.0,-0.0,0.24793704045848464,1.2479370404584846,1.0198996949791987,0.0,,,0.5203455838313437
2026-01-28,642749.5021021877,0.03009924581779444,-0.00010064846469670652,0.030199894282491146,9223.045530937998,633526.4565712498,0.0,0.9856506376111177,0.9856506376111177,0.0,0.0,0.0,0.0,-0.0,0.28549900420437546,1.2854990042043755,1.0197970436407544,0.0,,,0.5042117396440845
2026-01-29,650390.2508727723,0.011887599672336657,-0.0019844122978083245,0.013872011970144982,-7.275957614183426e-12,650390.2508727723,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.3007805017455447,1.3007805017455447,1.0177733458460851,0.0,,,0.2804423362538088
2026-01-30,616453.0390193273,-0.05217976715964601,-0.0029825370291508557,-0.04919723013049515,0.0,616453.0390193273,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.23290607803865448,1.2329060780386545,1.0147377991548163,-0.05217976715964612,,,0.1808941382091943
2026-02-02,633108.0954541846,0.02701755913370585,0.004971313785747666,0.022046245347958182,0.0,633108.0954541846,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.2662161909083691,1.2662161909083691,1.0197823791646738,-0.026571977970759053,,,0.5700733361432299
2026-02-03,636831.5837814478,0.005881283708103702,-0.008455443552212283,0.014336727260315985,440.6812895170151,636390.9024919309,0.0,0.9993080096830307,0.9993080096830307,0.0,0.0,0.0,0.0,-0.0,0.27366316756289577,1.2736631675628958,1.0111596668221061,-0.02084697160378679,,,0.40573692221979324
2026-02-04,604780.5806340347,-0.05032885297098055,-0.0048438791641037815,-0.04548497380687677,-7.275957614183426e-12,604780.5806340347,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.20956116126806945,1.2095611612680695,1.0062617315804043,-0.07012662040603013,,,0.4830146340741285
2026-02-05,596130.9515683039,-0.01430209458224141,-0.012489252246782212,-0.0018128423354591972,0.0,596130.9515683039,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.19226190313660774,1.1922619031366077,0.9936942749884128,-0.08342575743049163,,,0.28589464040098783
2026-02-06,615196.3905941859,0.031981964660154905,0.019184793837257796,0.012797170822897108,3279.121411256463,611917.2691829294,0.0,0.9946697973827685,0.9946697973827685,0.0,0.0,0.0,0.0,-0.0,0.23039278118837192,1.230392781188372,1.0127580947913288,-0.05411191239622526,,,0.4116054799391471
2026-02-09,626983.142645946,0.01915933225872135,0.004821754364902953,0.014337577893818398,-1.4551915228366852e-11,626983.142645946,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.253966285291892,1.253966285291892,1.0176413655554797,-0.03598932824625811,,,0.49453256419376673
2026-02-10,613893.9028356074,-0.02087654183986576,-0.002637077599238591,-0.018239464240627168,-7.275957614183426e-12,613893.9028356074,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.22778780567121482,1.2277878056712148,1.0149577663063147,-0.05611453736920213,,,0.3861677269653125
