ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.CIEN,387078.60115905805,267775.40261074615,187695.67849130728,5,68392.47994299536
US.WDC,502734.8974265298,395738.7142909771,154924.0060260898,7,47927.82289053709
US.LITE,506656.5663060343,423337.7730358189,127288.34295907874,7,43969.54968886339
US.FORM,119527.36070531762,147107.77538332107,0.0,2,27580.41467800345
US.TER,247684.07065222954,273641.9050828762,0.0,4,25957.834430646675
US.PL,374420.2133463485,265072.1269819325,132644.37405961187,5,23296.287695195875
US.TSEM,260882.09938991143,126369.99558798519,154752.7695422311,3,20240.66574030489
US.HL,125000.0,143670.69042759694,0.0,2,18670.690427596943
US.TIGO,251361.9825150295,264838.0223173739,0.0,4,13476.0398023444
US.VICR,250401.85646541027,262361.0115328114,0.0,4,11959.155067401123
