ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,379038.4144368372,223080.6641057384,278920.20805468474,5,122962.45772358595
US.WDC,498865.7404520178,393977.8709220175,207691.45427415727,7,102803.58474415698
US.CIEN,533744.7029051172,467253.2792145692,154815.1328765823,7,88323.70918603428
US.PL,528809.2357754293,380104.96043165657,219088.293298165,7,70384.01795439224
US.LITE,502198.59558827453,558790.4690825475,0.0,8,56591.873494272935
US.MU,534330.5725997004,389077.62518564286,182307.4536103323,7,37054.50619627477
US.TER,246230.6185919247,275649.65685603826,0.0,4,29419.038264113566
US.TSEM,546378.9275864835,570962.4287897232,0.0,8,24583.501203239663
US.HL,125000.0,143670.69042759694,0.0,2,18670.690427596943
US.STX,417364.5842794046,247525.0486652085,188111.7140081319,5,18272.178393935785
US.COHR,136663.96536344933,153529.31108918495,0.0,2,16865.34572573562
US.AEIS,118595.99603620492,134452.90553417595,0.0,2,15856.909497971035
US.TIGO,247075.43806981482,260321.6721472324,0.0,4,13246.234077417583
US.RKLB,118165.50350572463,130160.52134731828,0.0,2,11995.017841593653
US.ASTS,250316.84804590495,260634.95941949173,0.0,4,10318.111373586784
US.VRT,247075.43806981482,254988.6234582285,0.0,4,7913.185388413694
US.EQX,125000.0,131523.08736998093,0.0,2,6523.087369980931
US.LRCX,253813.63920758315,258412.11442787826,0.0,4,4598.475220295106
US.E,117491.96928933325,121349.78770279636,0.0,2,3857.818413463101
US.ASX,132737.21423476352,136340.47382721893,0.0,2,3603.2595924554043
US.CRS,117491.96928933327,120716.73039595867,0.0,2,3224.761106625403
US.FTI,247075.43806981482,245509.7080031701,0.0,4,-1565.7300666447263
US.SATS,125000.00000000001,122709.47122439492,0.0,2,-2290.5287756050966
US.HII,129583.46878048156,125636.30580293755,0.0,2,-3947.1629775440088
US.ATI,129583.46878048155,124910.95002527791,0.0,2,-4672.518755203637
US.AAOI,264802.5355310348,259159.3824861698,0.0,4,-5643.153044865001
US.ESLT,129583.46878048153,123277.93532540993,0.0,2,-6305.533455071607
US.APA,117491.96928933327,109536.52535244373,0.0,2,-7955.44393688954
US.AGI,129583.46878048155,121289.10204770904,0.0,2,-8294.366732772512
US.BE,271517.8142105774,132587.37350002813,125964.02479135625,3,-12966.415919193008
US.IAG,366751.3442598119,352014.6754564388,0.0,6,-14736.668803373119
US.AA,127635.12186009312,112749.5492469637,0.0,2,-14885.572613129421
US.CDE,131804.7166679619,114513.01554988859,0.0,2,-17291.701118073324
US.AU,128138.57016758548,105792.54723174206,0.0,2,-22346.022935843415
US.TTMI,551008.6204915558,523396.9480844125,0.0,8,-27611.672407143284
US.INTC,288671.33404745924,129014.34330707903,131162.5445820613,3,-28494.446158318897
