ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.WDC,498865.7404520178,393977.8709220175,188901.0487990796,7,84013.1792690793
US.CIEN,384786.46640027344,467253.2792145692,0.0,6,82466.81281429576
US.SNDK,379038.4144368372,223080.6641057384,232021.56659839314,5,76063.81626729434
US.LITE,502198.59558827453,421074.4372064491,135105.08546550837,7,53980.92708368297
US.TER,246230.6185919247,275649.65685603826,0.0,4,29419.038264113566
US.PL,528809.2357754293,380104.96043165657,170035.47831451247,7,21331.202970739687
US.HL,125000.0,143670.69042759694,0.0,2,18670.690427596943
US.AAOI,264802.5355310348,119024.1707435466,164404.68168228306,3,18626.316894794814
US.COHR,136663.96536344933,153529.31108918495,0.0,2,16865.34572573562
US.AEIS,118595.99603620492,134452.90553417595,0.0,2,15856.909497971035
US.TSEM,417364.58427940455,274769.994141337,157842.0129589701,5,15247.422820902546
US.TIGO,247075.43806981482,260321.6721472324,0.0,4,13246.234077417583
US.RKLB,118165.50350572463,130160.52134731828,0.0,2,11995.017841593653
US.ASTS,250316.84804590495,260634.95941949173,0.0,4,10318.111373586784
US.VRT,247075.43806981482,254988.6234582285,0.0,4,7913.185388413694
US.EQX,125000.0,131523.08736998093,0.0,2,6523.087369980931
US.LRCX,253813.63920758315,258412.11442787826,0.0,4,4598.475220295106
US.E,117491.96928933325,121349.78770279636,0.0,2,3857.818413463101
US.MU,385372.3360948566,389077.62518564286,0.0,6,3705.2890907862457
US.ASX,132737.21423476352,136340.47382721893,0.0,2,3603.2595924554043
US.CRS,117491.96928933327,120716.73039595867,0.0,2,3224.761106625403
US.BE,131804.7166679619,132587.37350002813,0.0,2,782.6568320662191
US.FTI,247075.43806981482,245509.7080031701,0.0,4,-1565.7300666447263
US.STX,417364.5842794046,247525.0486652085,168145.95832038543,5,-1693.5772938106675
US.SATS,125000.00000000001,122709.47122439492,0.0,2,-2290.5287756050966
US.HII,129583.46878048156,125636.30580293755,0.0,2,-3947.1629775440088
US.ATI,129583.46878048155,124910.95002527791,0.0,2,-4672.518755203637
US.ESLT,129583.46878048153,123277.93532540993,0.0,2,-6305.533455071607
US.APA,117491.96928933327,109536.52535244373,0.0,2,-7955.44393688954
US.AGI,129583.46878048155,121289.10204770904,0.0,2,-8294.366732772512
US.IAG,366751.3442598119,352014.6754564388,0.0,6,-14736.668803373119
US.AA,127635.12186009312,112749.5492469637,0.0,2,-14885.572613129421
US.CDE,131804.7166679619,114513.01554988859,0.0,2,-17291.701118073324
US.TTMI,551008.6204915558,371139.72175175796,160082.78437685836,7,-19786.114362939494
US.AU,128138.57016758548,105792.54723174206,0.0,2,-22346.022935843415
