ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.CAR,56898.08624318362,185776.04289408904,0.0,2,128877.95665090543
US.ERAS,475773.10885733523,546748.861081082,0.0,16,70975.7522237468
US.SNDK,609331.377060906,645687.7295880533,0.0,20,36356.352527147275
US.RGC,214690.0022241183,238769.57719752027,0.0,8,24079.574973401963
US.XNDU,203925.69690934924,225939.49834208502,0.0,6,22013.80143273578
US.ALAB,138381.81785636445,58613.697540618894,100759.1027917588,3,20990.982476013247
US.SSL,168630.67068592657,188061.54575088609,0.0,6,19430.875064959517
US.ARM,199710.8210820813,139895.9890398977,77016.44349206304,5,17201.61144987942
US.RKLB,587137.9432131837,603362.6747515477,0.0,18,16224.731538364082
US.UMC,366047.77508827386,307602.9533089458,72760.25212601852,9,14315.430346690468
