ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.BWET,1933587.2127729596,1845833.9000108994,167390.50371093152,69,79637.1909488712
US.SOXX,1112397.787422929,1005320.7605222327,169241.11477856498,41,62164.087877868675
US.DRAM,350160.66829798854,394874.4675573631,0.0,19,44713.79925937456
US.SMH,967061.805468892,835624.4089439824,168606.41222314863,32,37169.01569823909
US.MEME,905082.8488482703,939671.0946591254,0.0,31,34588.24581085518
US.EWY,1489800.4029243852,1521468.3587165328,0.0,61,31667.955792147666
US.BNO,1243010.5767517241,1268648.7213555772,0.0,34,25638.144603853114
US.EWT,855342.8193358637,876231.3356155633,0.0,20,20888.51627969963
US.NASA,192559.34384986403,213094.66611556336,0.0,12,20535.32226569933
US.SILJ,467680.8626488626,483932.05914350075,0.0,15,16251.196494638163
