date,portfolio_value,daily_return,benchmark_return,excess_return,cash,long_market_value,short_market_value,gross_exposure,net_exposure,borrow_cost,spy_short_hedge_target,spy_short_market_value,spy_short_weight,cumulative_return,strategy_nav,benchmark_nav,drawdown,rolling_63_return,rolling_63_excess_return,daily_turnover
2026-01-02,502748.6344240243,0.005497268848048575,0.001833059595331532,0.0036642092527170433,0.0,502748.6344240243,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.005497268848048575,1.0054972688480486,1.0018330595953315,0.0,,,0.49999
2026-01-05,511216.1030914023,0.016842350406538253,0.0066601285187537496,0.010182221887784504,0.0,511216.1030914023,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.022432206182804615,1.0224322061828046,1.0085053965265727,0.0,,,0.0
2026-01-06,522688.5272347234,0.022441437337254344,0.0059471878101220454,0.0164942495271323,0.0,522688.5272347234,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.04537705446944673,1.0453770544694467,1.0145031675272378,0.0,,,0.0
2026-01-07,517779.2697748303,-0.009392319142464078,-0.0032234283982461864,-0.006168890744217892,0.0,517779.2697748303,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.035558539549660706,1.0355585395496607,1.0112329892069198,-0.009392319142463967,,,0.6866411951478795
2026-01-08,516892.47307950683,-0.0017126925450474673,-0.00010151106573852431,-0.001611181479308943,0.0,516892.47307950683,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.03378494615901362,1.0337849461590136,1.0111303378684755,-0.011088925532535598,,,0.0
2026-01-09,526768.4696835792,0.01910648175090235,0.0066133921200393075,0.012493089630863041,0.0,526768.4696835792,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.05353693936715831,1.0535369393671583,1.0178173392772676,0.0,,,0.0
2026-01-12,538768.4980272123,0.02278046055194105,0.0015704467845747416,0.02121001376736631,0.0,538768.4980272123,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.07753699605442477,1.0775369960544248,1.01941576724502,0.0,,,0.0
2026-01-13,540757.8051264607,0.0036923225959435424,-0.00199953967384503,0.005691862269788572,0.0,540757.8051264607,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.08151561025292153,1.0815156102529215,1.0173774049742703,0.0,,,0.0
2026-01-14,552082.1540850049,0.02094162830603241,-0.004915173617672908,0.02585680192370532,0.0,552082.1540850049,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.10416430817000988,1.1041643081700099,1.0123768183941242,0.0,,,0.19595418624372926
2026-01-15,555809.6354870216,0.006751678847860099,0.00272321687328958,0.004028461974570519,0.0,555809.6354870216,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.11161927097404334,1.1116192709740433,1.0151337400281022,0.0,,,0.0
2026-01-16,558985.9111801041,0.005714682672421256,-0.0008378597014612188,0.006552542373882475,0.0,558985.9111801041,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.1179718223602082,1.1179718223602082,1.014283200375739,0.0,,,0.0
2026-01-20,564922.7176796969,0.010620672866439973,-0.02035682271671191,0.03097749558315188,0.0,564922.7176796969,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.12984543535939364,1.1298454353593936,0.9936356170811509,0.0,,,0.0
2026-01-21,574252.3423158238,0.01651486892657883,0.011541072640074201,0.004973796286504628,0.0,574252.3423158238,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.14850468463164757,1.1485046846316476,1.0051032379156495,0.0,,,0.0
2026-01-22,581716.76231072,0.012998501607836888,0.005223227313606804,0.007775274294230083,0.0,581716.76231072,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.16343352462144,1.16343352462144,1.010353120600925,0.0,,,0.0
2026-01-23,589105.0775662875,0.01270088079672882,0.00036285523418388976,0.01233802556254493,0.0,589105.0775662875,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.178210155132575,1.178210155132575,1.010719732519109,0.0,,,0.0
2026-01-26,590593.4486564838,0.0025264950971821687,0.005078130668289882,-0.0025516355711077132,0.0,590593.4486564838,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.18118689731296755,1.1811868973129676,1.0158522993898602,0.0,,,0.0
