ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
HK.03317,226721.04265202387,169968.22656192898,128172.36414219187,7,71419.548052097
HK.06869,334949.2159562331,347800.6525016359,54361.62852569083,11,67213.06507109362
HK.02315,483262.39273289597,512023.687791207,0.0,18,28761.29505831102
HK.03858,180307.13207428542,208565.9530621185,0.0,8,28258.82098783308
HK.01888,104417.48412289436,49835.86497519861,78401.50309430649,3,23819.883946610746
HK.00631,55314.18686938517,77341.12497335137,0.0,2,22026.938103966197
HK.00290,113606.76117027644,67312.24670416553,60032.40074736014,3,13737.88628124923
HK.03393,380833.44869115413,391141.18532511644,0.0,14,10307.736633962311
HK.03668,51671.539773804456,61177.30455744275,0.0,2,9505.764783638297
HK.00175,54158.69742444692,62759.27182705282,0.0,2,8600.574402605904
