ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,1229376.1491520712,1333777.97170364,0.0,30,104401.82255156874
US.STX,823766.7721529491,896585.5726774796,0.0,20,72818.80052453047
US.AMD,1057331.0017062607,1110535.450282844,0.0,22,53204.448576583294
US.MU,878474.2075837409,928819.1528591969,0.0,22,50344.945275455946
US.ARM,913842.4941209807,960088.4708374109,0.0,22,46245.97671643016
US.INTC,946457.6112697563,990526.0038857008,0.0,24,44068.392615944496
US.LRCX,1020128.7635549463,1062798.9645144544,0.0,22,42670.200959508074
US.WDC,1162168.6028461633,1196717.8109510788,0.0,32,34549.20810491545
US.DELL,1196057.751985511,1228451.738810349,0.0,28,32393.98682483798
US.GLW,426183.1920259167,453786.42648920894,0.0,12,27603.234463292232
