ticker,name,industry_labels,buy_cost,sell_proceeds,ending_market_value,estimated_commission,pnl_dollar,contribution_initial_capital,buy_count,sell_count,first_entry_date,last_exit_date,status
US.SNDK,闪迪,计算机硬件,1963285.959328328,2342544.579981837,0.0,3444.664431448132,375813.9562220608,0.7516279124441215,12,12,2025-06-16,2026-06-29,已退出
US.MRVL,迈威尔科技,半导体,2289609.628827612,2591944.2063228856,0.0,3905.2430681203978,298429.3344271533,0.5968586688543066,27,27,2021-07-26,2026-06-29,已退出
US.STX,希捷科技,计算机硬件,2808833.225951799,3009045.3485678406,0.0,4654.302859615712,195557.81975642574,0.3911156395128515,29,29,2021-11-08,2026-06-29,已退出
US.INTC,英特尔,半导体,2350765.3259620005,2538495.448344172,0.0,3911.408619444938,183818.71376272652,0.36763742752545303,23,23,2021-12-20,2026-06-29,已退出
US.AMD,美国超微公司,半导体,2594870.3167745117,2781906.1065829988,0.0,4301.421138686009,182734.36866980104,0.3654687373396021,27,27,2021-07-26,2026-07-20,已退出
US.MU,美光科技,半导体,2832512.0145966727,3013617.286922689,0.0,4676.903441215489,176428.36888480085,0.3528567377696017,29,29,2021-11-22,2026-06-29,已退出
US.WDC,西部数据,计算机硬件,2765298.5000826167,2630618.9240200054,310594.6030461428,4316.733939282098,171598.29304424956,0.3431965860884991,28,27,2021-12-27,2026-06-29,当前持有
US.KLAC,科磊,半导体设备与材料,2401951.1241379706,2552742.2569633997,0.0,3963.754704881096,146827.37812054798,0.29365475624109594,27,27,2021-08-02,2026-06-15,已退出
US.DELL,戴尔科技,计算机硬件,2685361.715170867,2829912.8984471997,0.0,4412.219690894453,140138.96358543847,0.28027792717087696,31,31,2021-09-27,2026-06-08,已退出
US.ARM,Arm Holdings,半导体,2074185.366858614,2183472.05869129,0.0,3406.1259404399234,105880.56589223638,0.21176113178447276,17,17,2023-11-27,2026-06-29,已退出
US.AMAT,应用材料,半导体设备与材料,2468740.782943218,2572024.6549779014,0.0,4032.612350336896,99251.25968434646,0.19850251936869293,25,25,2021-11-15,2026-06-29,已退出
US.VRT,Vertiv Holdings,电气设备及零件,3203282.9169501113,3286149.2792781265,0.0,5191.54575698259,77674.81657103267,0.15534963314206535,39,39,2021-07-26,2026-05-26,已退出
US.NVDA,英伟达,半导体,2113319.0785601516,2192991.999452952,0.0,3445.048862410483,76227.87203038973,0.15245574406077947,30,30,2021-08-09,2026-05-26,已退出
US.APH,安费诺,电子元件,2337380.5277304603,2067618.6256122892,322211.7722566203,3523.9993226741994,48925.87081577493,0.09785174163154986,27,26,2021-07-16,2026-07-06,当前持有
US.META,Meta Platforms,互联网内容与信息,1758264.468254252,1807663.478477004,0.0,2852.7423573850047,46546.26786536688,0.09309253573073376,23,23,2021-07-26,2026-07-20,已退出
US.ANET,Arista Networks,计算机硬件,3065683.5766455624,2786427.8822021084,329822.5127421773,4681.689167078137,45885.12913164495,0.0917702582632899,37,36,2021-07-16,2026-07-20,当前持有
US.CRWD,CrowdStrike,软件基础设施,3126211.915921635,3174888.502462297,0.0,5040.880334707146,43635.70620595507,0.08727141241191015,31,31,2021-07-16,2026-07-27,已退出
US.TTE,道达尔,综合油气,1353519.4591856268,1390403.1052127967,0.0,2195.138051518739,34688.50797565115,0.0693770159513023,18,18,2021-09-27,2026-04-13,已退出
US.FTNT,飞塔信息,软件基础设施,3040857.7109766942,3077069.9706668826,0.0,4894.342145314861,31317.917544873475,0.06263583508974695,33,33,2021-07-16,2026-07-27,已退出
US.RIO,力拓,其他工业金属与采矿,1175980.620586017,1208574.2528888048,0.0,1907.6438987798572,30685.988404007996,0.06137197680801599,16,16,2022-01-03,2026-02-17,已退出
US.AVGO,博通,半导体,2213263.5201562275,2247316.2950067907,0.0,3568.4638521304146,30484.31099843273,0.06096862199686546,30,30,2021-07-16,2026-05-04,已退出
US.PLTR,Palantir,软件基础设施,1927845.7439588704,1959209.293775678,0.0,3109.6440301876387,28253.90578661986,0.05650781157323972,28,28,2021-08-30,2025-08-18,已退出
US.ASML,阿斯麦,半导体设备与材料,2491498.844664688,2521766.4835698106,0.0,4010.6122625875996,26257.02664253481,0.05251405328506962,26,26,2021-07-26,2026-08-03,已退出
US.PBR,巴西石油公司,综合油气,2222719.96434199,1938474.6461238393,312127.79984049406,3328.9556883726636,24553.525933970755,0.04910705186794151,27,26,2022-02-14,2026-04-20,当前持有
US.LMT,洛克希德马丁,航空航天与国防,2478068.1410899176,2503464.8843645034,0.0,3985.2264203635373,21411.51685422227,0.04282303370844454,25,25,2021-12-20,2026-08-03,已退出
US.SHEL,壳牌,综合油气,1906647.7419250212,1618869.2161966392,311624.2367406042,2820.4135664973282,21025.29744572501,0.04205059489145002,21,20,2021-09-13,2026-07-27,当前持有
US.HWM,Howmet Aerospace,航空航天与国防,2293397.10932856,2315237.3468348174,0.0,3686.907564930702,18153.32994132667,0.03630665988265334,29,29,2022-01-10,2026-08-03,已退出
US.GOOGL,谷歌-A,互联网内容与信息,2604444.7840873385,2624374.408288556,0.0,4183.055353900716,15746.56884731695,0.0314931376946339,31,31,2021-07-19,2026-05-26,已退出
US.COP,康菲石油,油气勘探与开发,1856767.9293677576,1875148.9928956903,0.0,2985.533537810758,15395.529990121866,0.030791059980243733,23,23,2021-09-27,2026-08-03,已退出
US.CVX,雪佛龙,综合油气,2172178.4720128323,1858188.3479334884,330585.8137173393,3224.2934559570563,13371.396182038268,0.026742792364076538,27,26,2021-10-04,2026-04-06,当前持有
US.ENB,恩桥,油气中游,2171822.6647843337,2188172.6239214614,0.0,3487.9962309646357,12861.962906163099,0.025723925812326198,23,23,2021-09-13,2026-07-27,已退出
US.BA,波音,航空航天与国防,1419277.6611466743,1434398.3920932089,0.0,2282.9408425919064,12837.79010394264,0.02567558020788528,19,19,2022-07-05,2026-02-02,已退出
US.PANW,Palo Alto Networks,软件基础设施,2960579.682635504,2977386.8673888748,0.0,4750.373240019503,12056.811513351433,0.024113623026702866,30,30,2021-07-16,2026-07-27,已退出
US.MSFT,微软,软件基础设施,1466509.047023009,1161524.6066056984,318676.76409543335,2102.4269229029655,11589.896755219635,0.02317979351043927,20,19,2021-07-19,2025-06-23,当前持有
US.RTX,雷神技术,航空航天与国防,2090020.912338732,2104343.185348086,0.0,3355.491278149454,10966.781731204563,0.021933563462409125,24,24,2021-10-11,2026-08-03,已退出
US.QCOM,高通,半导体,1853273.1384854396,1867191.4014072225,0.0,2976.37163191413,10941.89128986878,0.021883782579737557,22,22,2021-08-02,2026-06-08,已退出
US.T,AT&T,电信服务,1479812.1693801389,1492912.659657229,0.0,2378.179863229894,10722.310413860216,0.02144462082772043,21,21,2022-01-10,2026-03-16,已退出
