ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.ARM,291966.83930324425,505058.1314969538,0.0,4,213091.29219370952
US.SNDK,265597.9603427935,432911.4454413122,0.0,4,167313.48509851872
US.INTC,154918.87604194178,303704.9535962951,0.0,2,148786.0775543533
US.MRVL,147849.66354010586,244721.9018117969,0.0,2,96872.23827169105
US.STX,154918.87604194178,245493.86185378794,0.0,2,90574.98581184616
US.WDC,99600.31974420464,160032.27551911885,0.0,2,60431.95577491421
US.PBR,139581.70455984803,194250.04198636184,0.0,2,54668.33742651381
US.MU,344221.5249478046,395376.51267547475,0.0,4,51154.98772767017
US.AMAT,294532.555094363,0.0,343766.43572235527,1,49233.88062799227
US.KLAC,293355.36662476143,0.0,330353.04276934307,1,36997.67614458164
