ticker,buy_count,total_buy_value,first_signal_date,last_signal_date,first_trade_date,last_trade_date,name,industry_labels,latest_adj_close
US.MU,3,658475.8174365652,2025-12-31,2026-06-23,2026-01-02,2026-06-24,美光科技,半导体,1132.33
US.DELL,2,444913.1183551167,2026-03-12,2026-06-23,2026-03-13,2026-06-24,戴尔科技,计算机硬件,399.49
US.ARM,2,291966.83930324425,2026-02-26,2026-04-10,2026-02-27,2026-04-13,Arm Holdings,半导体,334.27
US.SNDK,2,265597.9603427935,2026-01-28,2026-04-10,2026-01-29,2026-04-13,闪迪,计算机硬件,2090.71
US.AMAT,1,294532.5550943629,2026-06-08,2026-06-08,2026-06-09,2026-06-09,应用材料,半导体设备与材料,626.84
US.ASML,1,294532.5550943629,2026-06-08,2026-06-08,2026-06-09,2026-06-09,阿斯麦,半导体设备与材料,1794.62
US.CSCO,1,294532.5550943629,2026-06-08,2026-06-08,2026-06-09,2026-06-09,思科,通讯设备,113.77
US.GE,1,294532.5550943629,2026-06-08,2026-06-08,2026-06-09,2026-06-09,GE航天航空,航空航天与国防,369.0
US.KLAC,1,293355.3666247611,2026-06-08,2026-06-08,2026-06-09,2026-06-09,科磊,半导体设备与材料,248.64
US.CRWD,1,277852.2909516578,2026-05-22,2026-05-22,2026-05-26,2026-05-26,CrowdStrike,软件基础设施,701.09
US.QCOM,1,277408.0826527743,2026-05-22,2026-05-22,2026-05-26,2026-05-26,高通,半导体,189.39
US.AMD,1,244612.59224155595,2026-05-08,2026-05-08,2026-05-11,2026-05-11,美国超微公司,半导体,521.58
US.INTC,1,154918.87604194178,2026-04-10,2026-04-10,2026-04-13,2026-04-13,英特尔,半导体,128.32
US.STX,1,154918.87604194178,2026-04-10,2026-04-10,2026-04-13,2026-04-13,希捷科技,计算机硬件,899.9
US.MRVL,1,147849.6635401058,2026-03-26,2026-03-26,2026-03-27,2026-03-27,迈威尔科技,半导体,266.77
US.GLW,1,139581.70455984803,2026-02-11,2026-02-11,2026-02-12,2026-02-12,康宁,电子元件,221.05
US.PBR,1,139581.70455984803,2026-02-11,2026-02-11,2026-02-12,2026-02-12,巴西石油公司,综合油气,16.29
US.VRT,1,139581.70455984803,2026-02-11,2026-02-11,2026-02-12,2026-02-12,Vertiv Holdings,电气设备及零件,303.95
US.HWM,1,136828.86180125244,2026-02-26,2026-02-26,2026-02-27,2026-02-27,Howmet Aerospace,航空航天与国防,268.87
US.BP,1,130658.82586635592,2026-03-12,2026-03-12,2026-03-13,2026-03-13,英国石油,综合油气,37.13
US.SHEL,1,130658.82586635592,2026-03-12,2026-03-12,2026-03-13,2026-03-13,壳牌,综合油气,76.53
US.BA,1,100000.0,2025-12-31,2025-12-31,2026-01-02,2026-01-02,波音,航空航天与国防,217.25
US.LMT,1,100000.0,2025-12-31,2025-12-31,2026-01-02,2026-01-02,洛克希德马丁,航空航天与国防,507.4
US.LRCX,1,99999.99999999999,2025-12-31,2025-12-31,2026-01-02,2026-01-02,泛林集团,半导体设备与材料,379.09
US.WDC,1,99600.31974420464,2025-12-31,2025-12-31,2026-01-02,2026-01-02,西部数据,计算机硬件,586.45
