date,portfolio_value,daily_return,benchmark_return,excess_return,cash,long_market_value,short_market_value,gross_exposure,net_exposure,borrow_cost,spy_short_hedge_target,spy_short_market_value,spy_short_weight,cumulative_return,strategy_nav,benchmark_nav,drawdown,rolling_63_return,rolling_63_excess_return,daily_turnover
2026-01-02,516027.41700563463,0.032054834011269184,0.001833059595331532,0.030221774415937652,-7.275957614183426e-12,516027.41700563463,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.032054834011269184,1.0320548340112692,1.0018330595953315,0.0,,,0.49960031974420466
2026-01-05,518387.1785152051,0.004572938242823454,0.0066601285187537496,-0.002087190275930295,0.0,518387.1785152051,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.03677435703041021,1.0367743570304102,1.0085053965265727,0.0,,,0.4965553618620385
2026-01-06,549021.6038443502,0.05909564626364805,0.0059471878101220454,0.053148458453526004,-7.275957614183426e-12,549021.6038443502,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.09804320768870034,1.0980432076887003,1.0145031675272378,0.0,,,0.479698236086017
2026-01-07,538608.1076203318,-0.018967370593618194,-0.0032234283982461864,-0.015743942195372007,0.0,538608.1076203318,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.07721621524066369,1.0772162152406637,1.0112329892069198,-0.01896737059361797,,,0.27183583395520655
2026-01-08,538373.9492114412,-0.0004347472783600148,-0.00010151106573852431,-0.0003332362126214905,144.57738316280302,538229.3718282784,0.0,0.9997314554625562,0.9997314554625562,0.0,0.0,0.0,-0.0,0.07674789842288243,1.0767478984228824,1.0111303378684755,-0.019393871859234912,,,0.2018860543459368
2026-01-09,565437.9828066656,0.050269953876604045,0.0066133921200393075,0.04365656175656474,-7.275957614183426e-12,565437.9828066656,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.13087596561333115,1.1308759656133311,1.0178173392772676,0.0,,,0.2940537580854022
2026-01-12,585703.1016413077,0.0358396843700739,0.0015704467845747416,0.03426923758549916,0.0,585703.1016413077,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.17140620328261535,1.1714062032826154,1.01941576724502,0.0,,,0.28088899151905633
2026-01-13,581587.7151312496,-0.007026403818804372,-0.00199953967384503,-0.005026864144959342,0.0,581587.7151312496,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.16317543026249925,1.1631754302624993,1.0173774049742703,-0.007026403818804372,,,0.1876438183404698
2026-01-14,587322.442094061,0.009860467842786713,-0.004915173617672908,0.014775641460459621,-7.275957614183426e-12,587322.442094061,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.17464488418812207,1.174644884188122,1.0123768183941242,0.0,,,0.09564831169440295
2026-01-15,602874.080152489,0.026478875901590815,0.00272321687328958,0.023755659028301235,-7.275957614183426e-12,602874.080152489,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.205748160304978,1.205748160304978,1.0151337400281022,0.0,,,0.49310963183726697
2026-01-16,623447.9354357318,0.034126289320713266,-0.0008378597014612188,0.034964149022174484,-1.4551915228366852e-11,623447.9354357318,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.24689587087146347,1.2468958708714635,1.014283200375739,0.0,,,0.2797850190314424
