ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
HK.01888,163703.56089660988,240243.29224250244,0.0,6,76539.73134589256
HK.03317,217886.8965661829,282504.2499084632,0.0,8,64617.353342280316
HK.06869,437485.1718641792,499435.3371894132,0.0,16,61950.165325234004
HK.00148,258894.73050581125,314958.73247611546,0.0,8,56064.001970304205
HK.00290,164338.8998584074,201988.1414766893,0.0,6,37649.2416182819
HK.06809,210255.5783769757,245555.29654088928,0.0,6,35299.71816391358
HK.06651,67076.4624918243,97360.49587292917,0.0,2,30284.033381104862
HK.02315,306294.8062224368,334893.00444679894,0.0,12,28598.19822436216
HK.03858,177057.4637904686,205310.77212303504,0.0,8,28253.308332566434
HK.02513,538511.1658181566,566365.571591413,0.0,18,27854.40577325644
HK.00631,55113.79638659439,77830.24459407416,0.0,2,22716.44820747977
HK.00992,365342.9333713188,382726.3689438199,0.0,10,17383.435572501097
HK.03759,73771.22626431989,0.0,86059.88498520027,1,12288.658720880383
HK.03330,110552.44221606443,122066.89913281903,0.0,4,11514.4569167546
HK.03393,317455.718357911,327983.1607976327,0.0,12,10527.442439721723
HK.00175,50176.41239975237,58336.59692679168,0.0,2,8160.18452703931
HK.01138,167030.27812812314,174331.51977454993,0.0,6,7301.241646426788
HK.02099,165812.22483844694,173067.1370889768,0.0,6,7254.912250529858
HK.01860,114742.11407013141,121673.91022920854,0.0,4,6931.79615907713
HK.02659,48990.41591067307,55416.78028247453,0.0,2,6426.364371801457
HK.02610,106029.25458728452,112234.5690645369,0.0,4,6205.314477252381
HK.02338,195429.16805232284,200797.72600859308,0.0,8,5368.557956270233
HK.03668,114730.32443893368,119656.721112976,0.0,4,4926.39667404232
HK.03899,106405.2991103232,110726.5843882167,0.0,4,4321.28527789349
HK.01208,110910.99163434905,113664.72251443527,0.0,4,2753.730880086223
HK.02096,72775.24606933356,0.0,75383.92669032779,1,2608.6806209942297
HK.01772,110365.00121800773,112957.81444175399,0.0,4,2592.813223746256
HK.03993,108075.9910255401,110637.32037839868,0.0,4,2561.329352858578
HK.06099,141071.2118954445,143610.88970209262,0.0,4,2539.6778066481347
HK.03939,111755.00038989085,113971.69672983888,0.0,4,2216.69633994803
HK.02269,75376.44296780779,0.0,77572.53775727387,1,2196.0947894660785
HK.03320,160844.46241264098,162942.99157626714,0.0,6,2098.529163626168
HK.03931,105626.91690553259,107598.76607133388,0.0,4,1971.8491658012936
HK.09999,142961.91107339217,144924.23801055047,0.0,4,1962.326937158301
HK.00921,142335.91155019758,144241.13421444016,0.0,4,1905.2226642425812
HK.03986,493914.0610876153,495763.6445318882,0.0,16,1849.5834442728665
HK.00300,74369.47056050441,0.0,76204.44029494321,1,1834.9697344387969
HK.02268,72775.24606933356,74304.42684271124,0.0,2,1529.1807733776805
HK.00867,72473.14408920391,0.0,73997.2902214911,1,1524.146132287191
HK.03698,60086.59646729564,61467.17685669114,0.0,2,1380.5803893955017
HK.01109,135580.84035046358,136879.97900280482,0.0,4,1299.1386523412366
HK.01385,99600.12536646653,100741.43222606127,0.0,4,1141.3068595947407
HK.02788,51946.12977184428,52780.94561089318,0.0,2,834.815839048897
HK.09863,55450.504505780205,56212.721295145835,0.0,2,762.2167893656297
HK.02600,49446.651703543925,49995.07823195219,0.0,2,548.4265284082649
HK.00688,135580.84035046358,136013.58140411347,0.0,4,432.74105364989373
HK.02039,101421.71099694958,101789.58370332525,0.0,4,367.8727063756669
HK.00670,99701.13371901063,100043.59182995307,0.0,4,342.4581109424471
HK.01070,114954.31294797412,115168.70262141188,0.0,4,214.38967343776312
HK.01801,72473.14408920391,0.0,72638.58744606329,1,165.4433568593813
HK.01336,49701.13371901062,49855.11393461019,0.0,2,153.98021559957124
HK.02611,76368.54649392479,76496.2059952756,0.0,2,127.65950135080493
HK.00966,57529.24300202865,57606.44190577911,0.0,2,77.19890375046089
HK.00902,142335.91155019758,142342.70335672743,0.0,4,6.79180652985815
HK.02689,261866.99298402577,261830.72079613994,0.0,10,-36.272187885828316
HK.00220,146620.4460430873,146363.24309234653,0.0,4,-257.20295074075693
HK.00666,53248.08868299681,52965.57898434137,0.0,2,-282.5096986554345
HK.02318,49542.21722430557,49241.972187917774,0.0,2,-300.24503638779424
HK.02319,73771.22626431989,73402.19571557477,0.0,2,-369.030548745126
HK.00669,76368.54649392479,75880.46166945396,0.0,2,-488.08482447083225
HK.09926,160192.48523497238,159499.6352005718,0.0,6,-692.8500344005879
HK.01513,72473.14408920391,0.0,71777.90886557444,1,-695.2352236294682
HK.06088,390590.32942381036,389775.3272501187,0.0,14,-815.0021736916387
HK.00883,57127.270713825106,56304.67021495204,0.0,2,-822.6004988730638
HK.03808,51379.82635126644,50455.114629277305,0.0,2,-924.711721989137
HK.00016,59246.1024510108,58218.81713515524,0.0,2,-1027.2853158555663
HK.01908,64702.6654015197,63656.1521081752,0.0,2,-1046.5132933444984
HK.00005,74369.47056050441,73316.92708748393,0.0,2,-1052.543473020487
HK.00293,150139.77275824468,149058.2155551139,0.0,4,-1081.5572031307966
HK.00857,55119.92922946518,54028.09784699344,0.0,2,-1091.8313824717407
HK.02656,267138.1348238064,266010.39983586455,0.0,10,-1127.7349879418616
HK.06990,75376.44296780779,0.0,74177.42489735733,1,-1199.01807045046
HK.09866,109753.28866712752,108427.36551430446,0.0,4,-1325.9231528230594
HK.09969,123196.00307003064,48999.462149850035,72568.862499777,3,-1627.6784204036085
HK.02883,109700.39893968779,107684.30006572323,0.0,4,-2016.0988739645545
HK.02888,223797.5896140595,221587.33481258983,0.0,6,-2210.2548014696804
HK.02525,47452.962782763185,45135.153576050645,0.0,2,-2317.80920671254
HK.02018,140095.65689262096,137775.59070002293,0.0,4,-2320.066192598024
