ticker,buy_cost,sell_proceeds,ending_market_value,trade_count,pnl_dollar
US.SNDK,859392.0292058011,946541.0576980687,0.0,24,87149.0284922676
US.STX,702313.9325910809,775563.6145655995,0.0,18,73249.68197451858
US.AMD,463261.354968344,520567.9613364453,0.0,12,57306.60636810132
US.INTC,593204.0365217702,650125.9503706619,0.0,18,56921.91384889174
US.DELL,821836.3845076059,877342.0247539375,0.0,22,55505.640246331575
US.ARM,786042.9297867833,838968.5454785402,0.0,20,52925.615691756946
US.MRVL,931122.1192361942,972309.2358425993,0.0,22,41187.11660640512
US.MU,629266.6542112115,669791.0908639977,0.0,18,40524.436652786215
US.WDC,983007.7778994617,1012367.069998447,0.0,28,29359.292098985286
US.GLW,302671.77678149944,327291.47760153655,0.0,10,24619.700820037106
US.CRWD,351057.9311464935,373593.2173169432,0.0,8,22535.286170449748
US.QCOM,295624.9875147037,316663.72319220356,0.0,6,21038.735677499848
US.PBR,548199.4101520376,566730.6547196027,0.0,18,18531.244567565038
US.LRCX,657398.1650215127,673523.6653937962,0.0,16,16125.50037228351
US.EQNR,636441.1290035445,652147.9423750839,0.0,20,15706.813371539465
US.TXN,787617.6178511427,798482.6772063198,0.0,20,10865.059355177102
US.PANW,356884.9935341348,366348.10915224126,0.0,8,9463.115618106443
US.TTE,635581.7756388661,644632.9856701717,0.0,20,9051.210031305556
US.ASML,667227.8696573353,565414.9369504695,110813.26614608789,17,9000.333439222071
US.KLAC,637549.6091449794,536965.3798409889,109085.28946300843,17,8501.060159017914
US.VRT,864147.5098152237,872485.7702245335,0.0,24,8338.260409309762
US.BP,249493.12028342974,256305.5503214699,0.0,8,6812.430038040155
US.BA,101800.27435630486,107137.15218383906,0.0,4,5336.877827534205
US.COP,442042.92141854926,336210.7373837066,110537.76397559914,11,4705.579940756492
US.SHEL,356354.3461246996,250598.66882441635,110337.21171708424,9,4581.534416801005
US.LMT,572876.8598642866,576656.9331678003,0.0,18,3780.0733035136946
US.CVX,510186.94719731365,403423.9463441687,110506.68758962098,13,3743.6867364760255
US.AVGO,384637.3060661979,387915.4249596758,0.0,10,3278.118893477891
US.ANET,243516.6972081341,246553.32841904846,0.0,8,3036.6312109143473
US.GE,326589.8515477046,217380.48916677252,111949.34002820433,7,2739.9776472722297
US.BHP,423690.24766261614,426273.84346354485,0.0,12,2583.5958009287133
US.VZ,306709.4432908102,308335.22478714626,0.0,10,1625.7814963360433
US.ENB,453118.9134169492,344141.47585960117,109815.76310691911,11,838.3255495710764
US.XOM,558965.963313296,450403.50834802364,109116.99917747783,15,554.5442122054519
US.NEM,342095.53980007354,342642.06185648375,0.0,12,546.5220564102056
US.RTX,221170.29173176867,221568.88600940135,0.0,6,398.5942776326847
US.SCCO,417101.6564794001,417460.7403995001,0.0,14,359.08392010000534
US.LIN,274649.26481139497,274794.55594874243,0.0,8,145.29113734746352
US.APH,137070.82565706558,136940.38544140945,0.0,4,-130.44021565612638
US.ADI,716084.9392253516,715775.4089672329,0.0,20,-309.53025811864063
US.SPGI,50758.52732030958,50444.846898552205,0.0,2,-313.68042175737355
US.TSM,536915.9007377042,535661.1828859345,0.0,16,-1254.7178517697612
US.T,371375.9335291215,369204.2078288068,0.0,12,-2171.725700314739
US.MSFT,86954.53907246391,84458.474554158,0.0,2,-2496.0645183059096
US.PLTR,178653.33529849577,175559.42992245135,0.0,6,-3093.905376044422
US.ORCL,533461.6809169446,530128.9447007594,0.0,12,-3332.736216185265
US.TMUS,179692.43191850506,176288.64704999467,0.0,6,-3403.784868510382
US.RIO,359337.909999641,355054.03818915837,0.0,12,-4283.87181048264
US.UNP,451706.69155782484,447184.1161135716,0.0,12,-4522.57544425322
US.CEG,274183.15423579107,269629.84086454083,0.0,8,-4553.313371250231
US.CME,220496.36343218468,215620.48746804753,0.0,6,-4875.8759641371435
US.NVDA,193558.1336042798,184000.65836106535,0.0,4,-9557.47524321446
US.AMAT,633248.7998965079,511807.9199322621,110187.56657000574,15,-11253.313394239987
US.CSCO,676948.7633380515,557071.3366123566,108136.1105806661,13,-11741.316145028803
